Imię,Nazwisko,PESEL
EDMUND,KOŁAKOWSKA,06241149597
ANDRZEJ,BAJER,08280189871
JAN,PIETRAS,71052986693
JÓZEFA,GONTARZ,66062956400
ROZALIA,CZAPLICKA,72071712304
IZABELA,KUŚ,13262134864
MARTA,BŁAŻEJEWSKI,10302222442
SABINA,SAWICKI,70082714265
BOGUMIŁA,DYRDA,53061682726
TETIANA,JUSZCZAK,51060881061
DMYTRO,JURGA,70020937417
TETIANA,PORĘBSKI,51052479980
DAWID,DĄBROWSKI,68021621291
HENRYK,PÓŁTORAK,07262950779
MARIUSZ,JACKIEWICZ,09240199518
WIOLETTA,OLEKSIAK,80030241163
BRONISŁAW,DĘBOWSKA,02321512677
JERZY,KACZMARZYK,52013184439
ALINA,MULARCZYK,51070756108
MICHALINA,SZYMKOWIAK,54013167164
FRANCISZKA,WALASEK,63011877467
DAWID,MRUK,76122616696
IRYNA,JÓŹWIAK,59101050920
SYLWESTER,SKOWROŃSKA,85123124617
KATARZYNA,KONIK,77052671160
AGNIESZKA,PIEKARSKA,55071989644
NIKODEM,FERENC,69121243352
JULIAN,CZAPIEWSKA,10321206016
MAGDALENA,SZCZERBA,56032992765
HANNA,DRÓŻDŻ,99012311220
NIKODEM,PAWEŁEK,85031300079
ALINA,PAWLUS,87030381468
STEFAN,DOMAŃSKI,84022459552
DARIUSZ,POKORA,91100361995
SYLWESTER,STARCZEWSKI,13281889613
MARZENA,ANDRZEJEWSKI,18292392145
HANNA,JEZIERSKA,74020837388
DOROTA,WICHER,59071146184
TOMASZ,TOKARSKA,61052824154
TERESA,BURDA,71010483426
ZBIGNIEW,GUT,19251153472
BARTŁOMIEJ,KAWA,96100543693
CZESŁAWA,MALINOWSKA,68042249700
HENRYK,LOREK,71031904894
ANGELIKA,PYTEL,74071680805
IGNACY,ULATOWSKA,16280279993
RAFAŁ,DMOCHOWSKA,73122525294
IWONA,DŁUGOSZ,85032981884
BARTŁOMIEJ,KLIMEK,55072013896
KAMILA,ŚWITALSKA,74092754884
IGOR,KAPUŚCIŃSKI,87032328458
WŁADYSŁAWA,PIECHOCKA,68122094042
SERHII,ROMANIUK,65091477959
HALINA,KUPIEC,99101873860
EDMUND,JAWOROWSKI,14322929578
IRENEUSZ,CZERNECKI,12250980179
ALEKSANDER,KĘDZIORA,87101268539
ZUZANNA,RZEPECKA,07232728368
OLENA,NYKIEL,70121907847
JANUSZ,PIWOWARCZYK,97081296318
RAFAŁ,BOROŃ,73011812999
IGNACY,MORAWSKI,58022611571
NIKOLA,JANCZAK,50011719105
ANDRII,ŻABIŃSKA,00271606451
OLIWIER,JANAS,14250837451
KAROL,DZIEDZIC,97020412579
MIROSŁAW,RĄCZKA,87120907815
BOGUMIŁA,PIERZCHAŁA,15280388025
BARTOSZ,KOTOWICZ,17280139298
SYLWIA,BOROWIEC,01240430080
KATARZYNA,PASIEKA,93090875386
WIOLETTA,SKOTNICKA,65112300101
KAZIMIERA,POPIEL,56092711748
EDYTA,OGONOWSKA,03221856166
RENATA,PIĘTA,66091206141
BOGUSŁAW,WINIARSKA,96080672433
RYSZARD,KLEIN,99031874717
KINGA,CHOJECKA,72092820945
KRYSTIAN,CZAJKA,64032085453
WŁADYSŁAW,POŹNIAK,05220543553
WERONIKA,SOBOCIŃSKA,75012751149
BRONISŁAWA,ORŁOWSKI,18210813783
URSZULA,SOLARZ,52062937408
DOMINIKA,ŻAK,88082584786
GENOWEFA,KUBICKA,68040440547
ANETA,IWAN,04301875466
EDWARD,GLIŃSKA,01282409914
EWELINA,PACH,57061300109
DANUTA,RADWAŃSKI,52053161021
STANISŁAW,FRANKIEWICZ,01230675516
ROBERT,ZDANOWICZ,54062901636
MIŁOSZ,SZWEDA,11282806017
ANNA,SOBIECKI,04310252306
JULIAN,LISIECKA,64093059118
OLGA,ĆWIK,60020690425
BARTOSZ,WYSOCKA,97070660458
EUGENIUSZ,KONOPKA,80092285576
ZUZANNA,WALIGÓRA,04240439127
GRZEGORZ,KOŁODZIEJSKA,55103070957
DOMINIKA,KOBUS,00262436027
MIROSŁAW,STANISŁAWSKA,61120865517
MARTA,SOSNA,67031291205x
MICHAŁ,SZUBA,86052373217
HENRYK,POLOCZEK,58041246013
IGOR,PIWOWAR,13312790813
AMELIA,ZASADA,94050693464
OLGA,KWIECIŃSKI,98040287822
ZUZANNA,RYBKA,86040692207
JULIAN,DRZEWIECKA,52103118175
SABINA,MĄCZYŃSKI,57051645809
FRANCISZKA,DANILUK,57100326963
DAWID,BIENIEK,59060356013
LUCYNA,MŁYNARCZYK,92021446224
GABRIELA,ANTONIUK,72070980605
ANTONI,PALIWODA,09220116779
MARIA,ŁUKASIAK,58010875820
EUGENIUSZ,SITARZ,12300784016
BOGDAN,KULIKOWSKA,10232536099
ZYGMUNT,SZELĄG,73081527610
KAMIL,MACHOWSKA,98031957974
KRYSTIAN,SZADKOWSKI,95080561558
FRANCISZKA,MROZOWSKI,50121634660
ARKADIUSZ,POLOK,64111286795
ZUZANNA,PIĘTA,76021550921
MILENA,ROGUSKA,17300983762
IGOR,ŁAKOMA,97071309952
MAREK,WALKIEWICZ,07291254334
STEFAN,GONDEK,08243054453
IGNACY,RYBA,58011740231
LEOKADIA,RAK,03251586105
WŁODZIMIERZ,ZADROŻNA,83080276330
LEON,JACKIEWICZ,86101067650
KAROL,KILIAN,95083193817
KAZIMIERZ,RADOMSKA,95102222313
ADRIAN,RUSZKOWSKI,12271304277
BOŻENA,KUBIK,14211424629
KAROLINA,KRZYŻANIAK,93032191923
DOROTA,WIKTOR,68042662349
CZESŁAWA,MĄCZYŃSKA,07270906407
SYLWESTER,BARTOSZ,65020567537
WALDEMAR,SOŁTYS,59043082197
IGNACY,LUPA,89092890418
BRONISŁAW,KALINOWSKI,65012256072
LIDIA,KOPER,64083070329
GRAŻYNA,WOŹNICKA,62111141889
JÓZEFA,TARNOWSKI,54051166329
CECYLIA,POTOCKA,18311272148
ANNA,ROŻEK,51021498860
RENATA,PIETRZAK,70053174984
MARIAN,ORLIŃSKI,87061256711
JANINA,ŁOZIŃSKA,52120878283
DAWID,KOSIOREK,67110651579
JADWIGA,SADŁOWSKA,13243045004
DANIEL,KOGUT,71030246951
KAROL,STĘPIEŃ,51110854834
IGOR,CHUDY,50102931177
KAZIMIERZ,ANIOŁ,54041328797
MARZENA,MICKIEWICZ,97052610220
BRONISŁAWA,JAWORSKI,92033050529
RENATA,KUTA,72021643265
ZUZANNA,ŚLIWIŃSKA,54101267929
WACŁAW,LECH,65010824297
ALEKSANDRA,JASIŃSKI,82042913687
JOANNA,IDZIAK,12282820762
WIESŁAWA,BUGAJSKI,91120712922
JÓZEF,PAWLAK,00251413998
KACPER,PŁATEK,60090884410
MARCEL,PROKOP,83030239497
OLIWIA,KOWNACKA,92112005682
ZUZANNA,WĘGLARZ,75082871903
DOMINIK,SKOCZYLAS,70091604779
BOLESŁAW,GŁUSZEK,15291333278
MIKOŁAJ,KARWACKA,19250236255
MARTA,POLAK,63012352545
MIECZYSŁAW,PANEK,18240429657
RAFAŁ,PRZYBOROWSKA,59090282199
MARIANNA,KOLASA,62030251025
MARTA,BIERNAT,70041413420
WITOLD,JANKOWSKA,14212757874
LEOKADIA,SÓJKA,98040717789
ALEKSANDER,MAŃKOWSKA,78032583699
OLIWIER,TURSKI,18230215037
SEBASTIAN,KRAWIEC,19262605252
ADRIAN,ZAJDEL,78100504612
NATALIA,PIETRZYK,82081713206
SABINA,MUSZYŃSKA,05262439902
ŁUCJA,SROKA,96013169166
EUGENIUSZ,SŁOMKA,04250985810
JADWIGA,ROZWADOWSKA,00221886263
IGOR,KUŹMA,91082324456
MICHALINA,TOBIASZ,51051576701
LUCYNA,WÓJTOWICZ,58041797229
WIKTORIA,GAJEWSKA,89092982865
EWELINA,IWANIUK,02222565749
BEATA,MELNYCHUK,73070992164
KAMILA,MATKOWSKI,83050698562
WIESŁAW,WOJTCZAK,08322483451
IRENA,NAWROT,61071479487
ZOFIA,LEWKOWICZ,02251638881
ZUZANNA,RZEŹNIK,94021345060
MARIUSZ,KOCH,18250872630
ALICJA,STACHOWIAK,91110196361
RADOSŁAW,SZMIT,89041530637
MARIANNA,KAMIŃSKA,62101066806
MONIKA,KUSTRA,72082932281
OSKAR,BOMBA,86022687939
MAREK,ORŁOWSKA,97111145274
WALDEMAR,KOŚCIELNIAK,58072806732
IRENEUSZ,RYBIŃSKI,52110457911
MIROSŁAWA,MROZEK,66121545187
BOGUMIŁA,JABŁONOWSKA,79030280786
MICHAŁ,MĄDRY,08321962177
TADEUSZ,BIENIEK,65082779691
EDYTA,MACHNIK,94031627204
KAROLINA,MARKOWICZ,19302829680
WANDA,BAŃKOWSKA,59012636424
JAROSŁAW,MIAZGA,09272607553
SŁAWOMIR,KAŹMIERSKA,51122135853
ANIELA,ANTKOWIAK,57052613487
DAMIAN,KORZENIEWSKI,13271400819
JAROSŁAW,ŁĘCKI,81042064195
STEFANIA,MIKOŁAJCZAK,61062142464
JACEK,SZYMCZYK,70011967513
MAKSYMILIAN,KARCZ,79021926873
FRANCISZEK,STUDZIŃSKI,15322979877
ALINA,GORZKOWSKI,94112688081
EDWARD,KOCHAŃSKI,76052094573
KRYSTIAN,KRUKOWSKA,18242985876
ALINA,PACZKOWSKI,73062780421
DARIA,KOWALKOWSKI,92021608662
BRONISŁAWA,GUZOWSKA,12222201103
OLIWIER,POZNAŃSKI,07210695871
MARIANNA,KOSMALA,96022265086
MARIA,JASZCZUK,95122163083
EUGENIUSZ,ŁUCZYŃSKA,05210685454
ANETA,JURKIEWICZ,99111035483
KAMIL,BOROWIEC,56052973656
WŁADYSŁAWA,LENARTOWICZ,94042698923
PAULINA,MALIK,13250599347
SYLWIA,TYMIŃSKI,58122432546
MIKOŁAJ,MIZERA,18312222333
AGATA,KAPICA,61112399345
STANISŁAWA,WRONKA,65010852041
HENRYKA,KOT,55062086141
STANISŁAW,ŁUKASZCZYK,80071817639
MIROSŁAW,KOPCZYŃSKA,89010312217
EWELINA,NOWOSAD,50062372881
JAN,KOŁODZIEJ,12252975537
EUGENIA,BUKOWSKA,17251258067
BRONISŁAWA,BUDNA,85070761125
HALINA,NOSAL,03291216763
IVAN,ZAWADA,62011437132
SERHII,BARANOWSKA,66032307654
GRAŻYNA,SZWEDA,17291372402
MACIEJ,PIEKARCZYK,10240199491
STEFAN,KOŁODZIEJ,10240646351
IGOR,TARGOSZ,03291978076
ANDRII,MAZUREK,18240197174
PRZEMYSŁAW,MAGIERA,68041775190
IGNACY,STAROSTA,87052937959
EWA,PISKORZ,16240699047
MAŁGORZATA,RUTA,56040504420
ALICJA,KUPIS,13311001604
JÓZEFA,MORAWIEC,79072563007
JANUSZ,MARCZEWSKI,10212190718
DOMINIK,KUSZ,13292430192
FRANCISZKA,KŁOS,63121165207
RENATA,BONDAR,00281184688
WANDA,SAMBORSKA,50112299984
OLENA,ZĄBEK,59121017545
LUCYNA,IVANOVA,59021914382
SŁAWOMIR,BARTCZAK,66051140016
CZESŁAW,DUSZA,56042597138
DARIUSZ,AUGUSTYNOWICZ,69091220432
MAŁGORZATA,BANASIAK,70112785669
EWELINA,CHMIELEWSKA,99091676865
HALINA,BATKO,87020610862
JOLANTA,MIKOŁAJCZYK,14272065803
MAŁGORZATA,GRZYB,89061608345
PATRYK,STASIK,52032518976
SYLWESTER,SZWED,96081501792
BARTOSZ,ZAJDEL,95080611017
MAGDALENA,KOZŁOWSKA,11260242501
ZYGMUNT,SIUDA,04263038950
MARIUSZ,DOBOSZ,77083115293
ANDRII,WĄSOWICZ,91032312111
ANDRZEJ,MOCZULSKI,92092728456
HENRYKA,STEFAŃCZYK,65112864023
MARIA,TRZCIŃSKI,09242546127
DOMINIK,KOKOT,95051686736
WIKTOR,BIELAWSKI,17242622013
ANTONINA,SĘK,52061783406
ARTUR,OGÓREK,02240435976
WITOLD,MOTYL,65032763352
DANIEL,GUTKOWSKI,79060311793
RYSZARD,SCHMIDT,97012416099
OLIWIA,GĘBALA,62062864987
OLEKSANDR,CHOJNACKI,09300590394
JUSTYNA,PARZYCH,11290211207
MIKOŁAJ,BONDAR,95071967376
BOGUMIŁA,KORCZYŃSKI,06311342280
WERONIKA,SKRZYPCZAK,52092534943
KAMIL,ROMAN,97013165459
KAROL,BUDZYŃSKA,52102098135
JOANNA,BUGAJSKI,62030517365
KRYSTIAN,GAWROŃSKI,54040192539
JAN,SZYMANIAK,97091054434
MARIOLA,MALIK,78033186440
HENRYK,TYMIŃSKI,75122829491
URSZULA,MIKA,66013199861
DAMIAN,ZAWADKA,04262646534
MARIANNA,WOJTASZEK,90092974662
IRENEUSZ,JASZCZUK,95070425156
SEBASTIAN,MASTALERZ,75052049217
WIKTORIA,PRZYBOROWSKA,75041396180
GENOWEFA,KUTA,58032538066
LENA,KOZIKOWSKA,86061903647
JAN,ZAWADA,05220214950
STEFAN,SŁABY,63080141737
ANTONI,SROKA,13282070478
BARTŁOMIEJ,PRZYTUŁA,58092831370
WŁADYSŁAWA,RZEPECKA,13292220140
URSZULA,RODZIEWICZ,55060118141
OLIWIER,KRASKA,64020459310
ALINA,FALKOWSKI,83092808806
MONIKA,TWARDOWSKI,96012020169
WIOLETTA,GANCARZ,07291882449
MIKOŁAJ,LEWANDOWSKI,69013027954
GENOWEFA,KULAS,01262970186
EUGENIA,WOJNAROWSKI,58012726704
ANIELA,WALIGÓRA,50100438447
JOLANTA,ŁASKA,06220610289
REGINA,MARTYNIUK,16251787421
IRENEUSZ,NOWACZYK,93081623970
ANIELA,RUSINEK,15262182403
EUGENIUSZ,TWARDOWSKI,81100625876
LEON,ROSIAK,75022888013
HUBERT,SUCHECKA,92011358931
NATALIIA,CIEŚLIK,64022701620
JERZY,KRZEMIEŃ,97072942378
ROMAN,RATAJCZAK,53050803192
ANIELA,KUNA,15293085968
KLAUDIA,PIETRUSZKA,05210105608
ZYGMUNT,WŁODARSKA,56022317916
TETIANA,ŚWINIARSKI,87080942587
ANGELIKA,BRZOZOWSKI,74081244862
ELŻBIETA,STADNIK,07311062985
KLAUDIA,WIECZOREK,88020510145
ARKADIUSZ,DUTKIEWICZ,85022588912
URSZULA,BIAŁEK,97050954465
DARIA,PRZYBYŁO,78112970265
IWONA,WCISŁO,63031799927
MIKOŁAJ,MACH,58103046450
NATALIIA,NIEZGODA,60111223703
WŁADYSŁAWA,DUDZIAK,52032823401
PIOTR,POPIOŁEK,10310845293
ANDRZEJ,BUDNIK,76091049257
KLAUDIA,KUCZERA,56072880729
IRYNA,BEDNARZ,65070452605
JAROSŁAW,PRZYBYLAK,70061464718
PIOTR,ZIENKIEWICZ,75022806338
SYLWIA,KOCH,72122671165
MACIEJ,SZKUDLAREK,19220804215
WOJCIECH,WIĄCEK,01241646716
PATRYK,SEMENIUK,85022295430
LEON,BOROWICZ,19210670514
PATRYCJA,RUTKOWSKI,84091076081
PATRYCJA,SUROWIEC,81092445520
ALEKSANDRA,FIRLEJ,61091474903
ZBIGNIEW,JEZIERSKA,15221628359
ANTONINA,KRASUSKA,61081812788
PRZEMYSŁAW,KAPUSTA,07292904191
KACPER,KĄDZIELA,95060111393
EDMUND,PIENIĄŻEK,67112543999
MIKOŁAJ,KŁOSIŃSKI,12242335273
GABRIELA,BUDZIŃSKI,70031152825
OLIWIER,KUBIŃSKA,55010219250
EWA,PAWLAK,13262696548
JOANNA,PIETRUSZEWSKA,80082474803
DMYTRO,MATUSZEWSKI,88061740257
ANETA,CISZEK,68050681286
KLAUDIA,PAPROCKA,10221515023
EDYTA,MAŁEK,68022214780
BOGUMIŁA,MICHALIK,10221306041
JOLANTA,KAROLAK,96071242243
NIKODEM,SAVCHUK,74111527897
DARIUSZ,KRZYWICKA,55032420272
WŁADYSŁAW,STAWIARSKI,79122799813
JOLANTA,KŁOS,71072406726
HUBERT,PUCHALSKI,99020177315
DOROTA,BIELSKI,69122758705
BOGDAN,KRYNICKA,88022039198
MAŁGORZATA,MORAWSKA,71092200421
URSZULA,JAGIEŁŁO,65120659062
ANTONI,TWOREK,94051373572
BRONISŁAW,PRZYGODA,91101429478
JOANNA,CHOIŃSKA,94102948102
MARCIN,KOSIOREK,86101313171
RADOSŁAW,WRZESIŃSKA,76010100331
CZESŁAW,MAJ,71070673652
ZYGMUNT,PROKOP,06261555534
PATRYK,JUSZCZAK,95052043998
PRZEMYSŁAW,MAZURKIEWICZ,86061236657
KATARZYNA,JUSZCZAK,11290518984
EMILIA,SŁOWIŃSKI,54032084729
IWONA,KOŁODZIEJ,61040992342
EDMUND,KACZMAREK,81070220037
KONRAD,KĘPKA,88042719919
HANNA,MOSZCZYŃSKI,91021057964
KRYSTIAN,PŁÓCIENNIK,17292949517
WŁODZIMIERZ,PLICHTA,57092069510
DANIEL,ZIMNA,78031434316
MILENA,STRZAŁKOWSKI,98063050746
DARIA,KOSECKI,17253169307
EUGENIA,JANIK,59072220546
TOMASZ,SZEWCZYK,89081755735
EDMUND,MAZURKIEWICZ,68040833750
WACŁAW,SITKO,71010134612
BOGUSŁAW,PIECHOCKI,04261122592
ARKADIUSZ,SIKORA,01221604598
JULIA,PIECHOWIAK,90072464785
JULIA,ADAMCZAK,18312123504
ZDZISŁAW,ROMAŃCZUK,61092410436
WITOLD,ROBAK,04311056039
KAZIMIERA,GOLA,01301624465
KRZYSZTOF,SKORUPA,02213093893
ANTONI,MIREK,52022955255
EDMUND,LISZKA,16290921112
MILENA,ROGALA,68052047101
JULIAN,AUGUSTYNIAK,59091883870
PRZEMYSŁAW,KARWACKI,94071817353
SYLWESTER,KOŁAKOWSKA,86102386556
NIKOLA,KOŚCIELNIAK,99071893143
KONRAD,ROSIAK,83112856712
NATALIIA,MIELNIK,03290217543
IGNACY,FRĄCZEK,04242766870
ANTONINA,PIASKOWSKI,56021985666
WŁADYSŁAWA,CHUDZIŃSKA,97041814808
WERONIKA,SOBOTA,89012804981
OSKAR,RYBA,01220119332
ANDRII,BUDNA,93100411014
LESZEK,PNIEWSKA,99111024212
RADOSŁAW,CHROBAK,78010458452
GRZEGORZ,STASIK,10252304195
JULIA,KORZENIEWSKI,09232409885
MATEUSZ,SOJKA,64051463999
BEATA,NIEWIADOMSKA,97121676423
MIECZYSŁAW,PRZYBYSZ,51061703238
ZUZANNA,KUBIŃSKA,76010515344
KINGA,MACH,83092107462
WALDEMAR,JANIAK,73090317271
ANIELA,SAMBORSKI,08252269563
IRYNA,GWÓŹDŹ,59031646000
ALEKSANDRA,MIODUSZEWSKA,87060838048
PATRYK,RODZIEWICZ,77021123610
MARIOLA,BAGIŃSKA,54010147468
JACEK,JURASZEK,58021447610
STEFAN,ZAKRZEWSKI,56081933559
ELŻBIETA,PĘKALA,99030535525
JADWIGA,ADAMCZYK,62100536308
SEBASTIAN,SPYCHAŁA,70062637678
MICHAŁ,KAIM,14221509510
JULIAN,BOMBA,10300301956
MARTA,KILIAN,58040335925
GENOWEFA,ŻUREK,87061489847
ALINA,GOLEC,00320682504
ALEKSANDRA,ZIOMEK,58073048289
MARIAN,KŁOSOWSKI,12261855758
KRZYSZTOF,ŁOŚ,67112069859
SABINA,KUC,78062319440
HELENA,MAJCHRZAK,58100312260
PAULINA,KUBAS,73121516200
HUBERT,SOŁTYSIK,68120907074
IRENA,TRACZYK,80083098729
KINGA,STĘPIEŃ,80050815308
ALEKSANDRA,AUGUSTYN,96013031865
DOMINIK,ŚWIDER,07221947916
NATALIA,KUSZ,73021972322
ANIELA,TERLECKI,13210274440
NIKOLA,JANUSZKIEWICZ,98042945924
WŁADYSŁAWA,DOMAŃSKA,72110787162
KRYSTYNA,SZOPA,92010938563
KAMIL,PARZYCH,18221944513
KONRAD,BOROWIEC,04321184959
ROMAN,KOSIOREK,06272792575
EDYTA,KOKOT,97051736886
MICHAŁ,WÓJCIAK,06210740796
KRYSTIAN,POTOCKI,56101211571
BOŻENA,GOŁĘBIOWSKA,00311367067
LUCYNA,CHYLIŃSKI,65072020901
NIKODEM,STANISŁAWSKI,75062329053
LEON,SKIBIŃSKA,66061566598
JULIAN,CZAJA,55070915039
FRANCISZEK,BARANOWSKA,56101387995
DMYTRO,CHRZĄSZCZ,88122409213
HENRYKA,BANASIAK,61112300028
LESZEK,ZAJKOWSKI,15323152372
LAURA,JASEK,53072487901
PAWEŁ,ŻMUDA,04273091235
RENATA,WACH,64030637409
MARTYNA,BOJARSKI,92021496106
KAMILA,MOLENDA,57102109346
MICHAŁ,MASŁOWSKA,98122271273
DOROTA,ŁAPIŃSKA,17311461080
EMILIA,KASIŃSKA,80040577740
JAKUB,KORYCKA,74022202434
FRANCISZEK,DAWIDOWICZ,79041391374
ANIELA,BADURA,18210649142
PIOTR,LOREK,50101891995
JOANNA,ANDRZEJEWSKA,78040901069
SZYMON,DZIEDZIC,51020133874
ZDZISŁAW,PASZKIEWICZ,89061587556
ANDRII,NARLOCH,99081679539
EMILIA,ZARĘBA,08220558248
WACŁAW,WOLIŃSKI,05310188813
KAZIMIERA,WIERZBICKI,87022355408
AMELIA,JASZCZUK,56122878500
STEFAN,KUNICKA,14251502752
WŁADYSŁAWA,STACH,60011995566
CECYLIA,GÓRCZYŃSKA,05240541409
OLIWIER,MALINOWSKI,86091934336
IGNACY,WALCZAK,88072130535
JADWIGA,RUDNIK,19211233424
ANNA,BUREK,82031341989
RYSZARD,STOLARSKI,55060625832
FRANCISZEK,PIECHOWIAK,60031906333
TADEUSZ,BRYŁA,03271117239
STANISŁAW,TOKARZ,13311335233
NATALIIA,KALITA,62042270500
MARTYNA,SARNECKA,65042501922
AGATA,MARTYNIUK,16222538825
JANUSZ,PAWŁOWICZ,18270357339
JÓZEFA,KRAWCZYŃSKA,69022742024
PRZEMYSŁAW,SUDER,70080381731
KATARZYNA,ZARĘBSKA,61120184568
MATEUSZ,KASPRZYCKI,63052827458
SEBASTIAN,GRZELAK,94102863472
JADWIGA,PLUCIŃSKI,88121864888
EWA,PRZYBYŁO,89110575529
ANDRZEJ,KUŚMIERZ,17321864839
KRYSTIAN,KAWA,52072925855
HANNA,BOGDANOWICZ,11292792748
BARTOSZ,IWAŃSKA,01211798991
MIKOŁAJ,GANCARZ,75010822751
WIKTOR,PAWLAK,05280368051
DANUTA,TRACZYK,07322448501
ANETA,TROJAN,57022355661
KAZIMIERZ,PIETRAS,07281768731
ARTUR,ZDANOWSKA,79041647833
LEON,FLORCZYK,74010207713
LUCYNA,KRAWIEC,76122547002
ANTONINA,GUZ,78051452220
MARTYNA,GÓRNA,70042955923
FRANCISZKA,STACHOWSKA,59020691321
ELŻBIETA,SŁABY,50010817989
PAULINA,DOPIERAŁA,72061383222
DOMINIK,WAWRZYNIAK,78042181119
OLIWIER,STENCEL,74102154138
MAREK,RÓG,84100102613
KAMILA,KLOCEK,68092645648
MARCEL,FLAK,18252052056
DANUTA,WILCZEK,84060417349
IRENEUSZ,SUŁKOWSKI,65080289417
VOLODYMYR,WÓJCICKA,18230109413
GENOWEFA,MARCZYK,98051449642
PATRYCJA,SOBIECKI,61121777040
EUGENIUSZ,PANKOWSKA,15290678710
BRONISŁAW,FRĄCKIEWICZ,94092787532
TOMASZ,TOMASIK,13260433613
ZOFIA,BŁASZKIEWICZ,75062469007
MARIUSZ,MYŚLIŃSKA,73101536655
OLGA,TABOR,17261343241
MARCIN,JĘDRZEJCZYK,16301506239
LIDIA,PUZIO,19280886569
AGNIESZKA,PANEK,68070257928
SŁAWOMIR,KIEŁBASA,60090893214
WIKTOR,MAZUR,90092224958
HALINA,GAWIN,51100246120
IZABELA,SZCZĘSNA,17290384507
BOŻENA,DRZEWIECKA,86080373984
ANDRZEJ,OSIŃSKI,13282141170
ŁUCJA,SĘKOWSKI,71020208127
MARIOLA,KRAVCHUK,73110913182
EMILIA,MAJDA,97072057502
REGINA,GOŁDA,84121897349
KLAUDIA,RUDZKI,19241167522
DOROTA,GAJ,91061173264
SYLWIA,GOŁĄB,73012158089
WŁADYSŁAWA,KUŹMIŃSKI,73112108346
GABRIELA,MICHALIK,11272957422
IGNACY,MYŚLIŃSKA,00220936679
OLEKSANDR,JAROCKI,55010965090
KAMIL,JARZYNA,07260864719
EUGENIA,CZERWONKA,05310130063
PAWEŁ,KREFT,70040612431
MARIOLA,MROZIK,19231489322
LAURA,FLAK,05321454705
ZDZISŁAW,TABOR,67101497779
BRONISŁAWA,KOZYRA,78070932024
STANISŁAW,JANIKOWSKA,80041683196
SŁAWOMIR,KAWKA,66020474315
RADOSŁAW,JÓŹWIK,62052256754
MARIANNA,BOROWIAK,17220259622
KINGA,LIPSKI,02302115945
ELŻBIETA,MIŁEK,61102154480
MARIOLA,MIKA,53030277728
ZBIGNIEW,KARWAT,68083169153
ŁUKASZ,CZECHOWICZ,54091419094
